OTU_ID	domain	phylum	class	order	family	genus	species	SRR2016338	SRR2016339	SRR2016340	SRR2016341	SRR2016342	SRR2016343	SRR2016344	SRR2016345	SRR2016346	SRR2016347	SRR2016348	SRR2016349	SRR2016350	SRR2016351	SRR2016352	SRR2016353	SRR2016354	SRR2016355	SRR2016356	SRR2016357	SRR2016358	SRR2016359	SRR2016360	SRR2016361	SRR2016362	SRR2016363	SRR2016364	SRR2016365	SRR2016366	SRR2016367	SRR2016368	SRR2016369	SRR2016370	SRR2016371	SRR2016372	SRR2016373	SRR2016374	SRR2016375	SRR2016376	SRR2016377	SRR2016378	SRR2016379	SRR2016380	SRR2016381	SRR2016382	SRR2016383	SRR2016384	SRR2016385	SRR2016386	SRR2016387
OTU_1804	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU_1805	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_1806	Bacteria	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_1807	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetitomaculum	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU_1808	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
OTU_1809	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_181	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	0	2	0	0	4	0	2	0	2	1	1	0	0	0	0	0	4	3	0	0	0	1	0	0	6	3	0	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1810	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
OTU_1811	Bacteria	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0
OTU_1812	Bacteria	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
