# Gene Family	5492_S3_Abundance-RPKs	5501_S5_Abundance-RPKs
UNMAPPED	39590022.0000000000	38629432.0000000000
UniRef90_A0A011MC32	0	369.8771007079
UniRef90_A0A011MH49	0	88.0238193032
UniRef90_A0A011N307	96.4422977272	0
UniRef90_A0A011NIS4	0	393.6768034592
UniRef90_A0A011NSL1	109.1992219954	0
UniRef90_A0A011NZC1	125.9868802658	0
UniRef90_A0A011P290	66.7651887750	89.0732835281
UniRef90_A0A011P595	399.8085438718	135.7138278988
UniRef90_A0A011PFD2	53.5194932164	0
UniRef90_A0A011PIF7	19.1760412741	0
UniRef90_A0A011PIM7	1147.3683212243	713.4824670261
UniRef90_A0A011PIN5	77.2323216612	88.5005150741
UniRef90_A0A011PYM6	210.9967281302	0
UniRef90_A0A011Q0V2	14.9992698486	34.4743891749
UniRef90_A0A011QEJ9	300.5455568318	148.6621283063
UniRef90_A0A011QJL6	0	87.0364454742
UniRef90_A0A011QM46	24.3593837669	28.2996327042
UniRef90_A0A011QML1	286.7590480508	236.9697133046
UniRef90_A0A011R8C6	920.0401366105	1708.5535841682
UniRef90_A0A011RA40	0	65.2267075622
UniRef90_A0A011RJ45	62.2928988553	68.6660507855
UniRef90_A0A011SPD5	0	34.0539196158
UniRef90_A0A011USL0	0	47.5986671504
UniRef90_A0A011UWN8	16.3011458043	40.5798500237
UniRef90_A0A013VCC3	52.1157043255	46.3768115942
UniRef90_A0A013VE09	129.0611241466	104.5645011675
UniRef90_A0A013VFJ7	102.5003301742	116.9171289341
UniRef90_A0A013VFV5	52.3415977961	98.5495293643
UniRef90_A0A013VH27	87.9915963514	72.1749034185
UniRef90_A0A013VIF6	25.1200353465	83.7380884355
UniRef90_A0A013VIG9	69.6027252898	164.1052164918
UniRef90_A0A013VJN6	37.3786971343	68.2639316916
UniRef90_A0A013VL74	69.2204725095	113.0902387448
UniRef90_A0A013VL97	75.2688172043	209.6199183486
UniRef90_A0A013VN08	84.5306301236	142.4562061702
UniRef90_A0A013VPJ4	32.6763255346	0
UniRef90_A0A013VRK0	66.6056884451	93.9723751831
UniRef90_A0A013VRR7	31.0077519380	128.6082847506
UniRef90_A0A013VRT7	18.5185185185	73.0115361263
UniRef90_A0A013WEV1	0	24.2016434411
UniRef90_A0A013WFP9	115.7504547120	155.0608152328
UniRef90_A0A013WK94	52.4375417068	82.1544481672
UniRef90_A0A013WLL1	42.1848500848	146.0014935417
UniRef90_A0A013WLL5	49.1218283590	88.6236448724
UniRef90_A0A013WQI5	64.2600320112	143.0410460348
UniRef90_A0A013WR82	38.7976627804	107.0926986704
UniRef90_A0A013WRN7	0	27.1500544805
UniRef90_A0A013WS71	23.5183909629	22.3668537306
UniRef90_A0A013WT69	42.4982158835	76.8463065745
UniRef90_A0A013WTX3	93.6453265788	45.1298727259
UniRef90_A0A013WWT7	64.1550894549	90.9090909091
UniRef90_A0A013WYF8	44.0450687098	71.2836095279
UniRef90_A0A013WYJ7	46.4772210891	165.9071988092
UniRef90_A0A013WZM2	44.5586926690	162.6084682554
UniRef90_A0A013XPU6	29.5070036032	96.1522149705
UniRef90_A0A013XQR6	0	19.2774426184
UniRef90_A0A013XR44	53.3655038670	116.0911356251
UniRef90_A0A013XS52	62.0742377953	85.7434775619
UniRef90_A0A013XS93	67.1175995904	121.3753317137
UniRef90_A0A013XXK1	48.9296636086	140.6263349539
UniRef90_A0A013XXL0	52.4182758392	112.5848825614
UniRef90_A0A014MBH8	1512.5182652558	3687.5883623810
UniRef90_A0A014MPG9	43.8703729868	0
UniRef90_A0A014NL03	42.7620720185	0
UniRef90_A0A014NMG8	1079.8099595205	3346.3085672078
UniRef90_A0A016XF45	0	54.6649180013
UniRef90_A0A016XG38	1199.8436193657	2755.2204220611
UniRef90_A0A016XG43	37.9729517206	49.6714702914
UniRef90_A0A016XHM0	0	23.8564315747
UniRef90_A0A017HJM7	101.2011477379	104.9815922933
UniRef90_A0A017HK22	173.7338612179	189.3172297681
UniRef90_A0A017HKM3	921.2208940011	601.3675746153
UniRef90_A0A017HMB6	0	140.4852623962
UniRef90_A0A017HMG7	0	21.5617715618
UniRef90_A0A017HNE5	25.6054218427	0
UniRef90_A0A017HSJ8	180.8090868192	0
UniRef90_A0A017HT91	46.0611529880	88.7414449789
UniRef90_A0A017HUQ7	267.4367217123	227.1118999216
UniRef90_A0A021VT13	0	21.3389645167
UniRef90_A0A022FRC9	20.7096635352	31.5249405361
UniRef90_A0A022FSX6	712.2348995612	612.0913478360
UniRef90_A0A022GM02	39.0503910116	0
UniRef90_A0A022GS01	16.9604656596	0
UniRef90_A0A023X9S9	16.6256283635	0
UniRef90_A0A024H5L7	7.5187969925	0
UniRef90_A0A024HCJ1	124.3607325004	0
UniRef90_A0A024HHY5	89.1893681992	0
UniRef90_A0A024IRH2	52.4790552365	74.7180442356
UniRef90_A0A031FK32	46.4726753201	132.1850526641
UniRef90_A0A031FKG1	33.6575639247	170.2370496755
UniRef90_A0A031FKH9	0	73.6876922348
UniRef90_A0A031FL41	29.1468405707	104.3350409042
UniRef90_A0A031FLM1	70.2334560954	201.9690599887
UniRef90_A0A031FLY6	47.4786196197	111.4419375114
UniRef90_A0A031FLZ0	46.5087046901	98.6590969486
UniRef90_A0A031FM03	70.9196659202	203.6056850770
UniRef90_A0A031FMB7	32.4245151852	105.6841385010
UniRef90_A0A031FME9	37.3571491983	127.2440924059
UniRef90_A0A031FMF4	27.2088367829	148.1911095019
UniRef90_A0A031FMP7	50.0571113232	77.3375107406
