contig_ID	coverage	taxid	domain	phylum	class	order	family	genus	species
c_5501_S5_17633	18.9531	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17634	225.5571	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5501_S5_17635	126.8636	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17636	72.6508	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17637	398.3362	12916	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	NA
c_5501_S5_17638	227.8727	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17639	186.6731	75682	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA
c_5501_S5_17640	60.8233	286638	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia alkalitolerans
c_5501_S5_17641	10.7368	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17642	155.1721	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
