contig_ID	coverage	taxid	domain	phylum	class	order	family	genus	species
c_5501_S5_1	3.9079	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_2	18.9481	1871070	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium
c_5501_S5_3	17.3511	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_4	116.5067	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_5	18.1964	1871070	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium
c_5501_S5_6	60.2123	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_7	329.4875	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_8	22.9497	2653152	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. 9I
c_5501_S5_9	18.6355	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_10	43.0444	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_11	140.9941	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_12	13.2914	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_13	21.8966	2320863	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum sp. K1R23-30
c_5501_S5_14	5.4838	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_15	8.9311	300019	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium paludicola
c_5501_S5_16	20.0000	344880	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas dokdonensis
c_5501_S5_17	20.3297	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_18	188.6260	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_19	74.8184	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_20	33.2798	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_21	27.8702	1871070	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium
c_5501_S5_22	156.4062	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_23	69.1730	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_24	24.1867	344880	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas dokdonensis
c_5501_S5_25	9.5463	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_26	9.9848	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_27	8.2050	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_28	21.3095	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_29	25.3696	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_30	49.0201	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_31	28.2481	47229	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia timonae
c_5501_S5_32	21.7871	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_33	207.1849	1549812	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. BSC265
c_5501_S5_34	11.4571	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_35	39.4288	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5501_S5_36	12.1246	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_37	7.3704	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_38	153.5389	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_39	23.0985	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_40	6.4026	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_41	27.0902	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_42	17.6667	2653152	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. 9I
c_5501_S5_43	8.1149	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_44	84.1670	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA
c_5501_S5_45	10.4777	41297	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
c_5501_S5_46	121.1662	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_47	12.7561	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_48	10.5235	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_49	26.6829	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_50	14.9693	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_51	117.7774	286638	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia alkalitolerans
c_5501_S5_52	14.1393	1688639	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	Noviherbaspirillum humi
