contig_ID	coverage	taxid	domain	phylum	class	order	family	genus	species
c_5492_S3_14903	88.9077	1386	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
c_5492_S3_14904	4.9735	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14905	16.8286	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14906	5.1515	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14907	6.2219	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14908	139.6293	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_14909	33.6136	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14910	14.2417	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14911	12.5427	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14912	4.9070	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14913	9.6213	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14914	19.9696	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14915	7.8688	2066053	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. UMB0893
c_5492_S3_14916	5.4419	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14917	16.1648	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14918	203.7841	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14919	3.2760	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14920	14.3459	306	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.
c_5492_S3_14921	18.2831	306	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.
