contig_ID	coverage	taxid	domain	phylum	class	order	family	genus	species
c_5492_S3_14702	178.0980	12916	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	NA
c_5492_S3_14703	7.3989	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14704	15.8818	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14705	7.6694	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14706	106.8729	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14707	331.8410	3988	Eukaryota	Streptophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Ricinus	Ricinus communis
c_5492_S3_14708	6.2201	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14709	20.2438	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14710	15.3519	2079199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. Mn16-1_5
c_5492_S3_14711	14.5059	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14712	13.8612	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14713	290.7782	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_14714	13.6061	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14715	261.3105	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14716	337.7923	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14717	8.4389	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14718	290.8416	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14719	329.9705	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_14720	182.0151	305	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
c_5492_S3_14721	338.2025	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14722	17.2512	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14723	268.2684	1549812	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. BSC265
c_5492_S3_14724	351.2373	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
